Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99,Trial 100,Trial 101,Trial 102,Average ERP Waveform,95% CI Lower Bound,95% CI Upper Bound,Standard Error
3.45021629,4.06751585,-4.09037304,4.43519592,6.32747793,0.11750627,0.98851788,-0.20110823,2.96461153,-0.30947959,-1.12033033,4.90819454,1.65805614,1.60785723,0.20534885,1.10977495,1.46092033,3.69950938,-2.23579335,1.65676832,0.18557185,-2.73421717,8.0066328,-1.54432881,1.49570417,2.133955,0.65409279,-3.0492835,-0.3702862,-0.46357346,-0.47686395,0.97946995,0.11811844,-3.4844451,1.67145407,-1.04895234,0.10098118,-0.16081607,0.45904708,-2.40313339,-2.55807638,2.34368181,-0.53303087,0.47258091,-1.1526587,0.37172773,-2.31907439,1.36221433,1.77022588,-3.4725945,2.597471,-1.38212979,-0.64596868,-0.95156425,0.76985395,-2.39669967,-1.15820098,1.5661335,-1.36913824,0.09827864,-1.53871584,-4.64118385,-1.92144275,2.03343058,-0.13478386,-1.3525095,-0.73753637,-0.46608067,1.17576528,-2.47364426,0.40078098,-1.29882276,-0.41973606,1.09511387,0.35121518,1.03310084,0.79903471,-3.79425216,-2.5783577,-3.81622267,2.54029226,2.40749216,1.37133574,-0.89211822,-3.99901152,-0.75101078,-1.72954869,2.30080152,3.4303236,-0.29018253,-1.23610091,-2.20556688,-1.83379042,-1.39255166,-0.60885882,-0.45969975,-2.06626678,-2.83389544,-2.03767896,-0.04418826,0.64684725,-4.3284893,-0.0795506655882354,-4.085804964,4.884544609,0.225583050003544
2.77416515,4.4254179,-4.57099247,4.67126942,6.49369669,0.41053128,1.02641737,-0.48336744,3.23366237,-0.8057493,-1.58456731,4.65468073,2.01828265,1.27237511,-0.25693578,1.12837195,1.30435801,4.22090197,-2.23826385,1.79465973,1.07356215,-1.85453832,9.53261375,-1.00771737,1.55851996,2.47388172,0.88457656,-3.07275271,-0.23541197,-0.85793102,-0.42025712,1.43242788,-0.0032627,-3.48086643,1.67311335,-1.13268542,0.43924373,-0.17438257,0.52450716,-2.77812934,-2.23108649,1.58032167,-1.1308738,0.47452271,-0.83192563,0.14349246,-2.71855879,1.18104494,1.61856985,-3.5005002,2.41562939,-1.30502951,-0.7380867,-1.40596223,1.35130739,-2.38462973,-0.8897903,1.66410935,-1.29208851,0.21936554,-1.23566794,-4.91683483,-2.39027357,1.97594571,-1.11744213,-0.96254504,-1.71809053,-0.64055502,1.39324164,-2.80081224,0.83117098,-1.71024704,-0.88353539,1.28337884,0.25752455,0.75425982,1.06139278,-3.28016686,-2.53954458,-4.16307354,2.71743321,2.12507868,1.18634105,-1.19613814,-4.53002071,-1.03013659,-1.97487998,2.39278054,3.65337324,-0.20390689,-1.64427578,-1.40898943,-1.34307027,-1.4828366,-0.77018929,-0.78431594,-2.55159783,-2.2340107,-1.98773003,0.24193048,0.57746005,-3.40570951,-0.0801179210784316,-4.5116733515,4.6704399855,0.235547302129047
2.09392691,4.72525215,-4.83812428,4.88140583,6.49824476,0.75952792,1.07070458,-0.72026348,3.47882175,-1.28188384,-2.02002192,4.28933716,2.31172609,0.92847657,-0.68084717,1.06552196,1.10497105,4.60335684,-2.16388535,1.84822428,1.88778317,-0.88408923,10.71890831,-0.44777215,1.597507,2.72144198,1.11776567,-3.01059437,-0.11966872,-1.16307223,-0.37909436,1.82762325,-0.08223057,-3.35187459,1.6425873,-1.20774221,0.78971565,-0.19685662,0.50448251,-3.10492086,-1.83834791,0.7708351,-1.69869065,0.51020515,-0.48353267,-0.08491719,-3.00700212,0.97771096,1.43011045,-3.48036003,2.11278605,-1.15961885,-0.82445741,-1.80478597,1.93227935,-2.30952168,-0.62574065,1.71485972,-1.16330314,0.2954793,-0.82538384,-5.07926941,-2.76250482,1.85801876,-2.06153059,-0.57058096,-2.64080477,-0.81379843,1.50183427,-3.08767033,1.23062336,-2.06455946,-1.31074119,1.42629194,0.13390535,0.50153387,1.30895054,-2.71894431,-2.41184974,-4.33564186,2.73742294,1.81951356,0.98306108,-1.42196095,-4.97829914,-1.23143804,-2.19076109,2.41336918,3.69589639,-0.13802516,-2.02806902,-0.60620224,-0.90224713,-1.59095883,-0.97806025,-1.14117241,-3.09839225,-1.70638251,-1.93432784,0.47327268,0.37038136,-2.50226331,-0.0843079024509805,-4.813000159,4.873598146,0.245379230775522
1.43180501,4.95986366,-4.88068962,5.06282759,6.34634256,1.15078449,1.11975849,-0.91052508,3.69346142,-1.7199887,-2.41563797,3.83154821,2.5210228,0.59233165,-1.05142081,0.91689956,0.87224495,4.84003544,-2.01058793,1.81112456,2.60501957,0.13690364,11.53388309,0.1163308,1.61260498,2.86573267,1.33822966,-2.86745214,-0.03359057,-1.37539029,-0.35453182,2.15224791,-0.12359768,-3.10200453,1.58157492,-1.26561928,1.13637388,-0.2195695,0.39380872,-3.36953688,-1.39601314,-0.05136693,-2.21841383,0.57327282,-0.11987889,-0.30563176,-3.17317581,0.7565558,1.2088294,-3.42232513,1.69746971,-0.95111978,-0.89769125,-2.13229632,2.50114274,-2.16927958,-0.37976485,1.71528351,-0.98734814,0.32855672,-0.31647414,-5.13051939,-3.02693439,1.68571866,-2.93043423,-0.19341773,-3.47323561,-0.98573768,1.49815834,-3.32200885,1.58913291,-2.35153675,-1.6809324,1.51606584,-0.01455492,0.28261614,1.52580249,-2.12762451,-2.19953179,-4.32605553,2.6086638,1.4957583,0.76618367,-1.5593164,-5.3251276,-1.34096801,-2.35981703,2.3559978,3.54887319,-0.0879181,-2.37660384,0.16507679,-0.53452682,-1.72322214,-1.23741317,-1.51287627,-3.68355417,-1.26016688,-1.87757456,0.64418125,0.032583,-1.65863681,-0.0921812237254901,-4.8529579155,5.0576793935,0.253700515206129
0.81086397,5.12459707,-4.695889,5.21153927,6.05023432,1.5685513,1.17203903,-1.05364418,3.87046885,-2.10343075,-2.76106215,3.30391979,2.63253641,0.27962172,-1.35652077,0.68197799,0.61707681,4.92943382,-1.78098285,1.68079472,3.20680547,1.16519761,11.9614048,0.66592556,1.60362935,2.89991951,1.53064024,-2.65124369,0.01339828,-1.49644542,-0.34605557,2.39653111,-0.13493937,-2.74085093,1.49150848,-1.29777765,1.46308303,-0.23375064,0.19281161,-3.55957747,-0.92160732,-0.85335982,-2.673105,0.65517664,0.24560487,-0.51141548,-3.21131063,0.52201331,0.95962232,-3.33547688,1.1833334,-0.68883431,-0.95025575,-2.37535048,3.0457983,-1.9639076,-0.16403341,1.66422749,-0.77131891,0.32313359,0.27626988,-5.07682323,-3.17689633,1.4671061,-3.69096541,0.15347052,-4.18754339,-1.15588784,1.38449883,-3.49219918,1.89894927,-2.56312346,-1.97538519,1.54629147,-0.18126455,0.1022248,1.69682837,-1.52272677,-1.90940511,-4.13425064,2.34718132,1.15816188,0.54119146,-1.60266852,-5.55422449,-1.34879637,-2.46630311,2.21732759,3.21213961,-0.04877928,-2.68044829,0.86823845,-0.26035884,-1.8850311,-1.55111337,-1.88238955,-4.2809124,-0.90025955,-1.81888318,0.74956548,-0.42400312,-0.91282696,-0.103654413627451,-4.67514017,5.20719216,0.259555427225964
0.25405228,5.21736574,-4.28931236,5.32256413,5.62849951,1.99583948,1.22609866,-1.14971459,4.00246143,-2.41740727,-3.04688406,2.73120213,2.63700867,0.00482416,-1.58725417,0.36426342,0.3512122,4.87529564,-1.48255873,1.45866919,3.67990494,2.15677166,12.00115967,1.1834805,1.5702399,2.82156706,1.68061781,-2.37282777,0.01356666,-1.53255248,-0.35160285,2.55409265,-0.12600556,-2.28271699,1.37359107,-1.29616737,1.75439441,-0.23124593,-0.09254622,-3.66484571,-0.433204,-1.60423279,-3.04750419,0.74576151,0.59909654,-0.69591677,-3.12131906,0.27858192,0.68806833,-3.22733831,0.58862102,-0.3855778,-0.97495335,-2.52406669,3.55385113,-1.69578075,0.01138461,1.56254709,-0.52444506,0.2860291,0.93229645,-4.92819548,-3.21050143,1.21178985,-4.3147974,0.45673746,-4.76159716,-1.32314575,1.16880536,-3.58781886,2.15467262,-2.69368267,-2.17798018,1.51239967,-0.35844797,-0.03797795,1.80861747,-0.91966516,-1.55054522,-3.76794648,1.97564459,0.81053591,0.31420529,-1.55143368,-5.65254164,-1.24965096,-2.49710321,1.99758053,2.69446516,-0.01607488,-2.93196249,1.46959269,-0.09630102,-2.08035135,-1.91966152,-2.2339046,-4.86247683,-0.62737048,-1.76096892,0.78503382,-0.98308325,-0.29847771,-0.118495921470588,-4.8574328465,5.3173042105,0.262428092420996
-0.21673799,5.23864841,-3.67468834,5.39032793,5.10504436,2.41527462,1.28055787,-1.19928968,4.08208561,-2.64946723,-3.26482868,2.13906479,2.53000307,-0.21950966,-1.73822391,-0.02865309,0.08664224,4.68629313,-1.12757587,1.15023613,4.01657581,3.06908679,11.66818142,1.65315235,1.51193595,2.63277984,1.77547812,-2.04551029,-0.03860703,-1.49414039,-0.36774009,2.62214231,-0.10800028,-1.74603057,1.22890103,-1.25372505,1.99632573,-0.2052235,-0.4508307,-3.677912,0.05138755,-2.27645898,-3.32850361,0.83395612,0.92705119,-0.85388792,-2.90876627,0.03081185,0.40018636,-3.10355234,-0.06461978,-0.05689822,-0.96538597,-2.57235861,4.0128293,-1.36980867,0.13895547,1.41306674,-0.25757587,0.22589773,1.62604344,-4.69780779,-3.13066292,0.93043858,-4.77969646,0.70584285,-5.17975998,-1.48563719,0.86440182,-3.60026646,2.35322142,-2.74016237,-2.27602124,1.41208005,-0.53757513,-0.13927594,1.85030186,-0.33223197,-1.13392258,-3.24235749,1.52202165,0.45627698,0.09176552,-1.40993881,-5.61097527,-1.04333138,-2.44259119,1.70066702,2.01318598,0.01406543,-3.12557054,1.94004023,-0.05402333,-2.31121325,-2.34100127,-2.55363226,-5.39989185,-0.43830222,-1.70772135,0.74702954,-1.62480402,0.15677273,-0.136331862058824,-5.159756804,5.2319682075,0.262224883604525
-0.58160353,5.19134474,-2.87326622,5.40911436,4.50784779,2.81000304,1.33412611,-1.2032764,4.10236645,-2.78992105,-3.40795279,1.55289292,2.31213379,-0.38338482,-1.80762362,-0.48522452,-0.16501635,4.375494,-0.73262799,0.764889,4.21456957,3.86331177,10.99174118,2.06128359,1.42810535,2.34017253,1.80493557,-1.6844368,-0.14600199,-1.39490914,-0.3899321,2.60151243,-0.09275399,-1.15258074,1.05855346,-1.16481888,2.17704964,-0.15077269,-0.86561048,-3.59453297,0.51537502,-2.8470571,-3.5055871,0.90852273,1.21686769,-0.98132277,-2.58455944,-0.21671021,0.1021696,-2.96774364,-0.75150657,0.27987245,-0.91642237,-2.51830673,4.41043091,-0.99347728,0.21398938,1.22043443,0.01742348,0.15266806,2.32800102,-4.40117598,-2.94492531,0.63424897,-5.07041311,0.89356685,-5.43333673,-1.64062512,0.4894318,-3.52333069,2.49368978,-2.70216608,-2.26093769,1.24562287,-0.7098183,-0.20559353,1.81425953,0.227799,-0.67197871,-2.57951045,1.01799333,0.0985965,-0.11940444,-1.18711472,-5.42489481,-0.73491538,-2.2973001,1.33412528,1.19342315,0.04452324,-3.25789499,2.25653958,-0.13952839,-2.57733631,-2.81042933,-2.83043027,-5.86586189,-0.32638377,-1.66396511,0.63299799,-2.32670116,0.43265426,-0.156649396666667,-5.407170725,5.1571698925,0.259244197876068
