Row,Mean Amplitude for Window 75-130,Mean Amplitude for Window 100-230
"Trial 63",-1.12615624607143,0.23138070480916
"Trial 64",-0.952163246071428,0.231103442977099
"Trial 65",-0.195172456428571,-0.717068427251908
"Trial 66",-0.0114848030357147,0.411444454351145
"Trial 67",1.47012752464286,1.05391543274809
"Trial 68",-5.52720964803571,-4.67905183030534
"Trial 69",0.522423379821429,-0.155395951145038
"Trial 70",-0.624875205,0.511958694427481
"Trial 71",-0.698998676250001,1.42444454076336
"Trial 72",-1.19571167035714,-0.386528530152672
"Trial 73",-0.182017842142857,0.60625304610687
"Trial 74",-2.02707268892857,0.844382684198473
"Trial 75",-1.80851319339286,0.220848623511451
"Trial 76",-1.30968680678571,0.554653441526717
"Trial 77",-1.08164993089286,0.450958919847328
"Trial 78",1.92579531232143,0.430488128320611
"Trial 79",0.269248895,-0.330604847938931
"Trial 80",0.163894000357143,-0.173153189389313
"Trial 81",0.438129633392857,0.470020211755725
"Trial 82",-0.11347483875,-0.115229408931298
"Trial 83",-0.548335623214286,0.00640062076335872
"Trial 84",-0.696633299285714,0.334877364656488
"Trial 85",0.0302652160714286,0.0676906651145038
"Trial 86",-0.347650851071429,0.11168740389313
"Trial 87",0.0218937682142858,-0.188228285114504
"Trial 88",-0.0894201312499999,-0.562177865267176
"Trial 89",-1.09708152160714,-1.13527526389313
"Trial 90",12.623203915,0.341355281832061
"Trial 91",1.73580742875,0.343071992900763
"Trial 92",0.226730750535714,0.0744115323664122
"Trial 93",1.15684346964286,0.289823649618321
"Trial 94",-1.21758277357143,0.833704836030534
"Trial 95",-1.91655931714286,0.439640386564885
"Trial 96",1.42459277785714,0.758381907633588
"Trial 97",-1.73025168785714,0.59886922351145
"Trial 98",-4.62409850535714,-8.08812851801527
"Trial 99",-0.986671409821429,-1.00942098061069
"Trial 100",-0.621152095714286,-0.125968929312977
"Trial 101",-1.56994318178571,-1.18088473740458
"Trial 102",-0.442827403035714,-0.890859801221374
"Trial 103",-0.596548273571429,-0.486651449389313
"Trial 104",1.19521348910714,-0.120618458244275
"Trial 105",-1.09261080392857,0.352228132977099
"Trial 106",-2.31363990714286,-0.977207220687023
"Trial 107",-0.187109817678571,-1.04352558740458
"Trial 108",-1.27387811910714,0.12055214648855
"Trial 109",-0.837515808392857,-2.07601966419847
"Trial 110",-1.76998262232143,-2.66716125221374
"Trial 111",-1.38192960071429,-3.06269834381679
"Trial 112",-2.84784110339286,-0.539082352519084
"Trial 113",-2.66823035035714,-2.09575205687023
"Trial 114",-2.66865069607143,-3.65247932824428
"Trial 115",-2.01320011642857,-3.40343034656489
